Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
AyreJordan22.txt	1	1237	48.98	58.31	57.09	57.88	176.71	21.91	76.56	5.74	3.72	2.02	0.16	1.29	0.49	10.35	0.97	0.57	0.57	1.21	2.67	0.89	0.97	0.32	0.49	8.41	3.15	1.78	2.02	2.26	0.40
GGeisingerII.txt	1	3098	58.22	31.77	76.36	49.82	27.91	14.62	82.41	6.81	4.03	2.74	0.16	1.68	0.23	6.97	0.26	0.45	0.87	0.77	4.74	1.23	0.71	1.13	1.94	6.71	1.07	1.58	1.97	2.26	0.55
TakeYuuThere.txt	1	8157	53.93	39.59	43.75	33.38	44.09	14.54	72.49	7.71	4.06	3.62	0.16	2.39	0.39	8.48	0.71	0.51	0.99	0.72	4.77	1.78	0.77	1.19	0.99	6.18	2.33	0.74	1.61	1.67	0.36
Neisha_Nashayy.txt	1	10107	40.73	37.06	67.16	81.42	88.66	14.49	80.19	9.81	6.44	3.35	0.16	1.97	0.38	10.09	0.51	0.62	1.08	0.92	3.45	1.64	0.40	0.42	0.92	6.43	1.98	1.20	1.38	1.89	0.45
Supremo0730.txt	1	17926	58.93	66.15	9.38	53.68	19.44	16.17	64.07	4.71	3.08	1.60	0.16	0.64	0.35	8.76	0.43	0.26	0.52	1.45	1.12	0.41	0.35	0.07	0.28	5.27	1.88	0.99	1.84	0.90	0.41
Richard_Calhoun.txt	1	4566	73.90	55.22	53.96	20.77	17.77	16.40	78.23	6.15	2.89	3.22	0.15	1.45	0.77	9.11	0.85	0.55	0.59	1.88	4.80	1.73	0.61	1.01	1.45	5.89	1.91	0.83	2.10	0.96	0.48
wudupchuck.txt	1	5876	72.57	48.64	39.70	68.19	12.27	17.92	65.11	6.62	4.42	2.18	0.15	1.16	0.32	6.81	0.26	0.51	0.51	0.61	3.83	1.46	0.56	0.54	1.11	6.60	1.96	1.12	1.84	1.91	0.29
Hank226.txt	1	1972	68.27	38.42	26.27	94.57	11.20	16.38	70.89	8.87	6.69	2.18	0.15	0.76	0.61	5.12	0.71	0.25	0.51	0.56	2.38	0.81	0.10	0.05	1.52	6.59	1.88	1.22	1.42	2.28	0.61
bluefeathers7.txt	1	1327	50.87	24.63	60.09	8.61	11.44	14.17	86.66	10.40	4.45	5.88	0.15	4.67	0.53	8.21	0.30	0.38	0.83	0.38	8.44	1.36	2.03	2.79	3.09	8.36	2.11	1.43	2.94	2.56	0.23
alliewardrop.txt	1	7344	38.64	29.43	50.25	64.24	28.03	15.28	74.47	8.51	5.24	3.21	0.15	1.95	0.37	7.80	0.79	0.38	1.01	0.84	3.34	0.69	0.56	0.72	1.21	5.57	1.78	0.97	1.29	1.58	0.38
mirandaalol.txt	1	2007	49.35	36.74	49.51	69.00	38.60	13.85	73.34	8.87	5.58	3.29	0.15	1.00	1.44	8.27	0.55	0.70	0.95	0.45	4.68	1.25	1.40	1.00	0.70	5.88	2.54	0.75	1.40	1.69	0.20
Terence_TerTer.txt	1	1349	65.36	57.64	27.96	75.32	10.54	21.05	60.71	6.82	4.74	2.08	0.15	0.52	0.44	7.26	0.37	0.22	0.96	0.30	2.45	0.89	0.67	0.30	0.44	5.86	1.63	1.85	2.37	1.56	0.07
houseofmaya.txt	1	676	68.11	32.86	97.82	75.23	6.63	14.64	85.65	3.70	3.11	0.44	0.15	0.00	0.30	4.59	0.00	0.00	0.44	0.44	4.44	1.18	2.51	0.00	0.74	6.51	1.48	2.37	0.89	2.07	0.15
