Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	drives	affiliation	achieve	power	reward	risk
Brittanyyx21.txt	1	3833	31.00	38.69	81.84	19.17	46.18	13.80	85.18	6.16	2.79	3.24	0.10	1.59	0.34	9.00	0.10	0.63	0.89	0.55	5.77	2.03	1.15	1.33	1.23	0.42
Britt_Knee_Lynn.txt	1	30562	31.50	51.37	68.68	41.57	18.44	14.15	83.37	7.08	3.93	3.06	0.29	1.07	0.92	10.38	0.57	0.45	0.37	0.84	6.21	1.55	1.52	1.60	1.57	0.49
britWilkinson00.txt	1	970	48.78	43.44	77.67	10.24	14.48	13.30	86.39	7.01	2.89	4.12	0.21	1.55	1.03	8.87	1.13	0.52	1.03	1.44	6.80	1.86	1.44	1.75	1.75	0.72
Carlos_isBeast.txt	1	647	55.98	57.36	34.12	36.66	14.70	19.94	66.77	5.72	3.09	2.47	0.15	1.08	0.77	8.04	0.31	0.31	0.00	0.93	6.18	2.01	0.77	1.70	2.01	0.15
cawwwtney.txt	1	6263	39.68	41.97	69.42	53.06	26.43	16.53	80.54	7.34	4.36	2.91	0.19	1.28	0.72	8.65	0.57	0.34	0.67	0.62	6.35	1.82	1.20	2.03	1.39	0.51
cchelc.txt	1	2825	57.93	22.55	85.82	24.64	53.30	14.16	84.46	5.59	2.76	2.83	0.42	1.24	0.39	7.22	0.50	0.53	0.78	1.17	6.69	1.42	1.52	2.09	1.42	0.39
Chedda_Shedda.txt	1	8681	52.55	50.78	41.42	28.65	28.84	16.38	75.62	7.07	3.62	3.44	0.31	2.03	0.46	9.69	0.78	0.63	1.14	1.29	6.35	1.94	0.85	1.98	1.80	0.45
Cherry4774.txt	1	3594	34.23	39.46	51.53	41.36	12.06	14.39	83.06	8.15	4.51	3.64	0.45	1.31	0.42	9.49	0.50	0.25	1.81	1.75	7.29	1.61	1.20	2.45	1.98	0.70
chinesmurder420.txt	1	5893	41.15	40.07	24.45	39.09	50.80	18.84	68.06	6.53	3.58	2.83	0.20	1.39	0.54	7.57	0.73	0.56	0.93	0.80	5.31	2.09	0.87	1.32	1.22	0.39
chloethacat.txt	1	9892	47.86	30.55	73.89	39.89	39.41	15.31	80.02	5.49	3.13	2.35	0.10	1.01	0.61	8.37	0.47	0.67	0.58	1.04	6.51	2.46	0.98	1.46	1.74	0.43
chrissywood33.txt	1	5389	41.65	53.04	50.53	54.77	49.44	15.87	76.93	7.20	4.34	2.80	0.24	1.24	0.78	10.21	0.85	0.80	1.15	1.26	6.48	2.19	1.11	1.69	1.56	0.45
CodyDuggins.txt	1	1557	51.50	48.72	33.82	10.98	21.62	15.74	70.33	6.62	2.70	3.85	0.26	1.86	1.03	8.80	0.58	0.39	0.90	1.03	4.62	1.41	0.39	1.28	1.28	0.45
codypipper.txt	1	14080	50.50	44.81	37.64	36.93	32.07	17.99	74.40	7.38	3.98	3.35	0.14	2.10	0.35	8.57	0.58	0.82	0.62	1.25	6.18	1.88	1.01	1.76	1.73	0.41
collin_menzel.txt	1	773	46.48	64.64	61.61	30.12	24.16	13.07	84.86	8.28	4.27	4.01	0.39	2.59	0.52	12.42	0.91	0.52	0.91	1.16	7.63	2.72	1.42	1.55	2.46	0.78
Corey_Brakhage.txt	1	8633	35.68	40.11	52.09	72.41	11.68	15.08	83.25	9.12	5.79	3.30	0.23	1.93	0.44	8.80	0.17	0.47	0.49	0.52	6.34	2.02	1.19	1.67	1.80	0.50
coughlin_sam.txt	1	12317	38.49	49.09	48.94	11.95	19.40	15.98	82.14	9.09	3.99	5.05	0.22	3.25	0.78	11.34	0.45	0.81	1.02	1.13	6.57	2.56	0.90	1.72	1.67	0.47
craigJOONson.txt	1	2070	73.31	57.66	37.16	52.99	33.39	22.66	62.27	6.81	4.11	2.66	0.29	1.26	0.43	6.96	0.29	0.92	0.43	0.68	6.76	2.80	1.06	1.84	1.55	0.53
Creegs_5.txt	1	642	60.80	59.85	27.69	79.66	20.71	22.27	74.30	9.81	6.39	3.43	0.00	2.18	0.31	9.97	0.62	0.31	0.93	1.09	9.35	3.27	1.87	2.96	1.87	0.31
CrisJanLim.txt	1	8284	75.72	43.62	17.54	87.59	12.02	19.93	61.55	6.54	5.07	1.46	0.39	0.47	0.21	4.51	0.30	0.47	0.39	0.45	4.50	1.38	0.85	1.01	1.36	0.30
critttybryant_.txt	1	73	31.12	29.17	90.21	76.42	73.00	26.03	78.08	8.22	5.48	2.74	0.00	1.37	1.37	9.59	0.00	1.37	0.00	0.00	5.48	2.74	1.37	0.00	1.37	0.00
DaBlues314.txt	1	4760	65.35	50.76	15.61	19.50	12.14	19.18	70.02	8.26	3.91	4.33	0.23	2.92	0.38	8.59	0.48	0.48	0.74	1.74	6.85	2.35	1.22	2.06	1.74	0.50
Daddy_Pask.txt	1	16786	40.83	47.74	53.53	31.14	16.70	13.59	79.04	6.31	3.29	2.98	0.19	1.43	0.56	9.63	0.42	0.61	1.24	0.91	6.22	1.63	1.17	1.77	1.86	0.54
danimarie7111.txt	1	14594	62.79	43.76	28.71	86.23	17.29	12.64	70.47	6.80	5.12	1.64	0.10	0.64	0.32	7.26	0.58	0.80	1.74	0.42	6.20	2.31	0.99	1.78	1.67	0.23
